Latitude,Longitude
30.60329331465897,-95.23572438230069
30.01662216880111,-97.19064822224081
31.105753631910193,-97.24586270532939
29.36994383770367,-96.89542670044727
30.9679193722403,-95.95431720541208
29.798655136791233,-95.11832929477741
29.725246576137575,-97.40310521537742
31.09956126347703,-94.96462606886452
31.35293056090081,-95.65004604163929
30.336026885350087,-95.4104242060406
30.756220012756856,-94.81672156215629
31.09892341612333,-96.0252134992891
30.685857973353176,-96.80132528318464
30.283293741246858,-97.31947775642665
30.79233134429445,-97.7362004014708
31.553079157754983,-96.45432903508829
29.53835891284085,-95.99645865323073
31.59292228384793,-95.9861067536142
31.98633445949428,-96.7407208273753
30.23860150296758,-96.82584435928855
30.45324641222264,-96.3119261073014
30.637589142061003,-94.9023828109551
29.78399889486475,-97.57622377403747
30.72779837541525,-94.97268678461879
31.307537929888728,-96.79349666143918
30.50331999967192,-95.53555895484692
29.40722311362451,-95.53484936096882
30.89494466360426,-95.58148958223622
30.365521365853464,-96.71599790192379
29.627637409859496,-97.54399923153106
30.209406420215895,-96.6248378027154
31.36141720897716,-97.01278803913132
29.445716826412845,-96.95315418383221
29.47565366816364,-96.57361153696218
30.640757627937752,-96.04306929031151
29.55536880500283,-97.22433948805092
31.232189242373316,-96.12743882827127
30.90968247995109,-95.04940464650436
30.65400392389628,-95.64035473154838
29.456412444636253,-96.71102441599663
29.51437550545138,-97.23751097064518
29.959930569884733,-97.07263775635529
31.15239863882471,-97.21826355757338
30.347773819902898,-96.2346571834574
31.284362590562008,-96.01830342763856
30.470226255573223,-95.21643026222846
29.71529363380249,-96.27386712184868
31.505904486991938,-95.98083317057267
30.967675273476754,-95.11087610894617
30.263119822206537,-94.88695055785114
29.690126746653725,-96.99382479509165
30.767537831732415,-95.05583303762342
29.964024586861992,-95.44831995473528
29.480967133292495,-96.24292859230798
29.736656241934472,-96.7594743742836
29.733690276730478,-95.93637523083467
29.703104597506503,-97.01929525112821
30.44970285392482,-95.84176075558116
29.462775387211227,-95.64778296183708
31.013007563422306,-94.99380289106189
31.493565517022958,-95.30861274125222
29.77703669475438,-95.8731566985512
30.83996075936608,-94.74288754994497
30.91711428494197,-95.8903937603688
31.112849808114458,-97.39197018956358
30.918565700641516,-96.22885754549417
31.143155581373126,-95.95734211410681
30.71763529354716,-96.06322490247956
31.820218129087575,-96.39659054359258
30.108814751661058,-97.60663834255469
30.733614831044676,-96.96044932109119
31.64113607078453,-96.61576483418571
30.798211759251313,-95.50688030580912
29.85739023560877,-95.49165419737541
29.22633603152019,-96.05703609788911
31.56511810378067,-95.9582096487766
31.584296019353754,-97.47996735103074
30.30840866522416,-96.31093360796925
30.695865248126005,-94.68002148943827
29.9321231755662,-97.01419609602061
30.44758995134229,-95.9338609076793
30.789471187724757,-97.63426786138446
30.498021429782582,-94.98947945672141
30.70183442709439,-96.89096772760414
31.968912240453186,-96.0088058102967
29.620321998727157,-96.26310794453086
31.716478865681058,-96.04287312414704
30.278799781841894,-96.64841563759887
31.379687923795768,-95.5923521219201
30.72922295184207,-96.37969847943677
29.545709533079435,-96.09035486823839
30.3366741402577,-97.03970059967438
29.567174378323447,-96.59532293474169
30.154953819904634,-95.526551667733
30.52235786676831,-96.588231845085
29.628018331755666,-96.46666563104662
29.216135554899545,-96.50148183759819
30.71056063109056,-97.50532991228488
31.20080972914912,-95.56061019948801
30.037373078374028,-96.16886956790313
